id,question,answer
54,Is it possible for a customer with an ordinary savings account to change it to CenteDiaspora?,"No, but the customer can hold both the Ordinary Savings account and the CenteDiaspora Account."
55,"Can a customer operate more than one CenteDiaspora account (e.g. individual, joint, or group)?","Yes, if: the accounts are in different currencies (UGX/GBP/USD); the accounts are joint (co-owned); or the accounts serve different purposes and are all actively operational."
56,Is CenteDiaspora Account for individual accounts only?,"Presently yes, but non-personal and group accounts are proposed for applicants meeting requirements for legal entities like a company/group."
57,Can a CenteDiaspora account holder apply for a loan?,"Yes, if they meet the requirements for the loan applied for."
58,How do I activate my account when it runs Inactive/Dormant?,Make a cash deposit at any branch or agent to activate the account.
59,When does my account become inactive or dormant?,Inactive after 6 months of no activity (deposit or withdrawal); dormant after one year of inactivity.
60,Can I instruct someone back home to pick money from my Account?,"No, but you can transfer from your account to their account or mobile wallet via the mobile banking platform."
61,"Which email should one use when help is needed, or an enquiry is to be made?","diasporabanking@centenarybank.co.ug, or call customer care on 0800200555/0800335344."
62,What is the procedure for getting a loan from CenteMobile?,"Dial *211# or log onto the CenteMobile App; select CenteMobile and enter your PIN; select CenteMobile Loans; select Check loan limit; select Request loan; select 1 to confirm loan account; enter amount and repayment period (1, 2 or 3 months); accept the terms for disbursement; you'll receive a confirmation SMS once funds are deposited, then can withdraw from your bank account."
63,How do I check my account balance on CenteMobile?,Dial *211# or log onto the CenteMobile App; select CenteMobile and enter PIN; select My accounts; select Balance enquiry; select 1 to confirm the account and view actual/available balance. Each enquiry transaction costs UShs. 300.
64,What is the procedure for transferring money from my mobile money account to my account?,"Airtel: Dial *185#, select Financial services then Banks, select Centenary Bank, enter account number and follow prompts (Airtel Money charges apply). MTN: Dial *165#, select Financial services, select Bank deposit, select Centenary Bank and follow prompts (MTN charges apply). Must be registered on CenteMobile to transfer funds."
65,What do I do when my mobile banking PIN has been blocked?,"Customers abroad: email info@centenarybank.co.ug with scanned National ID, visa page, passport, and full account details. Customers in-country: visit a branch with a valid National ID for a PIN reset. Visa debit card holders can use the CenteMobile App's 'forgot PIN' option."
66,Why does my money keep getting deducted at the end of the month?,"Standard charges: UGX 3,000 ledger fee for savings accounts; UGX 11,000 for current accounts; UGX 10,000 annual Visa card fee. Each bank charge attracts 15% excise duty. If a deduction isn't among these, call the toll-free lines 0800200555 (MTN) or 0800335344 (Airtel)."
67,How much is the charge for a bank statement?,"Interim statement: UGX 5,000 per page. Electronic statement: UGX 2,000 per page. Duplicate statement: UGX 4,000 per page."
68,What are the charges for transacting using the Visa card?,"International ATM cash withdrawals: 4% of transaction value. Online/POS purchases: USD 2.5 plus 5% forex mark-up. Cente ATM withdrawals: UGX 1,000 for UGX 1 million and below. Other Visa-enabled ATMs countrywide: UGX 5,000. Local POS payments: free. Interswitch-enabled ATM withdrawals: UGX 1,500."
69,What are the requirements for opening a savings account with Centenary Bank?,"Have a valid original National ID and registered mobile number, then download the CenteMobile App, click CenteOn the Go, choose the preferred account, and follow the prompts. Alternatively, visit any branch with: two passport-size photos; a valid ID (copy of National ID); an initial opening cash deposit of UGX 10,000 (plus UGX 15,000 for a new Visa card)."
70,What are the requirements for obtaining a Visa card?,"Visit a branch with a National ID; the card costs UGX 15,000 and is instantly issued and activated."
71,What are the requirements for obtaining a Visa Card replacement?,"Call the toll-free lines 0800200555 (MTN) or 0800335344 (Airtel) to block the lost card, then visit any branch with your National ID for a replacement at UGX 15,000. Turnaround time is same day."
72,What are the withdrawals over the counter charges?,"UGX 0–2,000,000: UGX 5,000. UGX 2,000,001–5,099,999: UGX 5,000. UGX 5,100,000–50,999,999: UGX 6,000."
73,Does Centenary Bank offer Internet banking services?,"Yes — you can view account balances, transaction history, download statements, pay bills, buy goods, and more."
74,What is a CenteVSLA Savings Account and what benefits does it offer?,"A specialized savings account for Village Savings and Loan Associations (VSLAs), offering attractive interest rates, financial literacy and entrepreneurship training, collateralization of the account balance for credit facilities, and services like POS, SMS-banking, and online banking."
75,How can I access financial literacy and entrepreneurship training with a CenteVSLA Savings Account?,"Request through the branch, a partner, or directly at head office. The bank conducts a training needs assessment to identify gaps and tailors the training at group level."
76,What services are available with a CenteVSLA Savings Account?,"POS service, CenteLinkApp services, and CenteMobile banking for transactions and account management."
77,What are the requirements for opening a CenteVSLA Savings Account?,No opening cash deposit; two recent passport-size photos of account signatories; valid National ID for signatories; copy of VSLA registration certificate (not certified); copy of VSLA Constitution (not certified); copy of minutes and resolution to open the account (handwritten allowed); introduction letter from the District Community Development Officer (DCDO).
78,"What currency is the CenteVSLA Savings Account denominated in, and what is the minimum balance required?","Uganda Shillings, with a minimum balance requirement of UShs. 5,000."
79,Are there any fees associated with maintaining a CenteVSLA Savings Account?,No account ledger/maintenance fees.
80,How often will I receive statements of account with a CenteVSLA Savings Account?,"Monthly statements, with one free statement per quarter."
81,How can I deposit and withdraw funds from my CenteVSLA Savings Account?,"Deposits via cash, wire, CenteLinkApp digital technology, cheque, or other acceptable means. Withdrawals via a completed withdrawal voucher."
82,Can the balance in my CenteVSLA Savings Account be used as collateral for credit facilities?,"Yes, the credit balance can be pledged as collateral for wholesale credit facilities."
83,Can I open a CenteVSLA Savings Account with no initial cash deposit?,"Yes, the minimum opening cash deposit is zero."
84,Do I need approval from the District Community Development Officer (DCDO) to open a CenteVSLA Savings Account?,"Yes, an introduction letter from the DCDO (or LC1 of the area the group meets) is required."
85,Can I access CenteVSLA Savings Account services directly from the community level?,"Yes, account opening is facilitated at the field/community level."
86,What is the limit for unsecured bid security?,"UGX 1Bn, though higher amounts can be considered case-by-case."
87,What do I need from a client to begin processing a bid guarantee?,Bank account; company documents; National ID; TIN; bid data sheet; bid security format; guarantee application form.
88,What are the bid security related charges (Bank charges)?,"No application fee; CRB fee of UGX 9,000; commission of 1% per quarter, minimum Ushs. 200,000; applicable taxes; stamp duty of UGX 15,000; excise duty of 15% of commission collected by the bank."
89,What about charges for the other types of Bank Guarantees?,"No application fee; CRB fee of UGX 9,000; processing fee of 1% of guarantee amount, minimum Ushs. 150,000; commission of 1% per quarter or minimum Ushs. 200,000; applicable taxes; stamp duty of Ushs. 100,000; excise duty of 15% of commission collected by the bank. Prices are negotiable depending on transaction value & tenor."
90,Are there any special concessions on cash secured Bank Guarantee facilities?,Yes — no processing fees on cash-secured Bank Guarantees; only 0.5% of the facility amount per quarter as commission. Other standard charges apply.
91,Must all guarantees be approved at Head Office?,"No, branches can approve guarantees within delegated branch approval limits; however, issuance of guarantees is centralized at head office."
92,What are the requirements for processing a bank Guarantee?,"Usual loan requirements (audited books, company documents, collateral, etc.), plus a copy of the signed contract agreement, and/or supplier statements for distributors and evidence of previous works done for contractors."
93,Who are the Trade Finance target clients?,"Contractors, distributors, importers, exporters, and manufacturers."
94,Whom can we target for the Letters of Credit product?,"Any manufacturer importing raw materials, or anyone intending to import equipment or a production line."
95,Why would a client opt for a Letter of Credit instead of a loan?,"LCs help manage performance risk (e.g. advance payment with non-delivery), ensure timely order fulfilment, improve the client's liquidity position by reducing immediate cash needs, and guarantee quality of supply."
96,What are our key selling points?,Bids processed within 1 day; unsecured bid securities of up to UGX 1Bn; collateral requirement of only 50%; competitive pricing on all guarantee offers.
97,Do we offer Structured Trade Finance as the Bank?,"Yes, tailored structured finance using product mixes like Back-to-Back LCs, transfer LCs, collateral management arrangements, and import loans."
98,Who do I contact in case for support on a Trade Finance request?,Route requests through the Trade Finance Team group email. Trade Specialist Gerald: Gerald.Mungoma@centenarybank.co.ug. Manager Trade Finance Martin Kiwalabye: Martin.Kiwalabye@centenarybank.co.ug
